0.0853333,626.953,75
0.170667,462.891,70
0.256,621.094,75
0.341333,468.75,70
5.29067,785.156,79
6.99733,468.75,70
11.0933,228.516,58
11.264,462.891,70
15.5307,591.797,74
15.616,468.75,70
15.7013,603.516,74
18.7733,562.5,73
22.3573,468.75,70
22.4427,556.641,73
22.528,462.891,70
22.6987,550.781,73
22.784,468.75,70
27.904,416.016,68
31.232,498.047,71
31.3173,416.016,68
31.4027,498.047,71
36.5227,539.062,73
36.608,615.234,75
36.6933,556.641,73
39.168,726.562,78
39.3387,714.844,77
39.424,744.141,78
39.5947,697.266,77
39.68,738.281,78
39.8507,697.266,77
39.936,738.281,78
40.0213,697.266,77
40.192,738.281,78
40.2773,697.266,77
41.3013,527.344,72
41.3867,539.062,73
41.472,521.484,72
44.544,398.438,67
44.6293,521.484,72
44.7147,392.578,67
44.8,521.484,72
